true_class,rank,second_choice_class,count,fraction,mean_second_prob,correct_only
0,1,46,10,1.0,0.004577709827572107,False
1,1,28,8,0.8,3.215974720660597e-05,False
1,2,12,2,0.2,0.00014958193060010672,False
2,1,54,10,1.0,3.991837002104148e-05,False
3,1,0,6,0.6,3.200677747372538e-05,False
3,2,11,2,0.2,1.4102401109994389e-05,False
3,3,45,1,0.1,1.6730693459976465e-05,False
3,4,96,1,0.1,1.2177594726381358e-05,False
4,1,68,10,1.0,1.2717330719169695e-05,False
5,1,26,10,1.0,3.1358413252746686e-05,False
6,1,14,3,0.3,3.3579941373318434e-05,False
6,2,85,3,0.3,1.5963838450261392e-05,False
6,3,17,2,0.2,1.617118323338218e-05,False
6,4,88,1,0.1,2.1435978851513937e-05,False
6,5,43,1,0.1,2.143204619642347e-05,False
7,1,95,8,0.8,2.4755998310865834e-05,False
7,2,75,2,0.2,1.2100141248083673e-05,False
8,1,97,10,1.0,3.373083018232137e-05,False
9,1,80,9,0.9,8.636194979771972e-05,False
9,2,44,1,0.1,4.314191028242931e-05,False
10,1,2,10,1.0,2.76960290648276e-05,False
11,1,2,9,0.9,1.4178866877045948e-05,False
11,2,3,1,0.1,3.536331496434286e-05,False
12,1,46,10,1.0,5.615738336928189e-05,False
13,1,50,10,1.0,1.5918005374260247e-05,False
14,1,80,9,0.9,9.449807294004131e-06,False
14,2,38,1,0.1,8.485096259391867e-06,False
15,1,98,5,0.5,0.0002900822146330029,False
15,2,95,1,0.1,7.061882206471637e-05,False
15,3,72,1,0.1,7.617930532433093e-05,False
15,4,28,1,0.1,2.8947268219781108e-05,False
15,5,91,1,0.1,0.3042793273925781,False
15,6,84,1,0.1,0.02057471312582493,False
16,1,39,6,0.6,3.0387620427063666e-05,False
16,2,50,3,0.3,2.611162381072063e-05,False
16,3,65,1,0.1,6.794930231990293e-05,False
17,1,26,6,0.6,2.559404674684629e-05,False
17,2,21,3,0.3,2.6559899197309278e-05,False
17,3,88,1,0.1,1.8946780983242206e-05,False
18,1,41,3,0.3,7.45384431866114e-06,False
18,2,28,2,0.2,0.00045548786874860525,False
18,3,40,2,0.2,1.213301220559515e-05,False
18,4,27,2,0.2,5.3686380852013826e-05,False
18,5,56,1,0.1,4.469323539524339e-05,False
19,1,95,10,1.0,3.17591184284538e-05,False
20,1,68,7,0.7,6.0628382925642654e-05,False
20,2,96,2,0.2,0.00011035824718419462,False
20,3,5,1,0.1,9.969143866328523e-05,False
21,1,17,6,0.6,6.0086302255513147e-05,False
21,2,47,4,0.4,3.944235504604876e-05,False
22,1,22,7,0.7,0.4552760124206543,False
22,2,23,3,0.3,0.4126313030719757,False
23,1,23,6,0.6,0.45272061228752136,False
23,2,22,4,0.4,0.4340874254703522,False
24,1,74,9,0.9,1.5696648915763944e-05,False
24,2,8,1,0.1,3.1367195333587006e-05,False
25,1,58,5,0.5,1.4336794265545905e-05,False
25,2,11,2,0.2,1.6792564565548673e-05,False
25,3,78,2,0.2,2.7330273951520212e-05,False
25,4,49,1,0.1,1.9375320334802382e-05,False
26,1,42,6,0.6,2.3021661036182195e-05,False
26,2,5,3,0.3,3.438075873418711e-05,False
26,3,17,1,0.1,1.881453317764681e-05,False
27,1,28,7,0.7,0.00011359768541296944,False
27,2,41,2,0.2,1.5322098988690414e-05,False
27,3,18,1,0.1,0.19915351271629333,False
28,1,18,8,0.8,2.803574716381263e-05,False
28,2,99,2,0.2,0.12332644313573837,False
29,1,60,10,1.0,0.058756954967975616,False
30,1,32,6,0.6,0.0006704609841108322,False
30,2,52,4,0.4,0.0001554967020638287,False
31,1,39,5,0.5,6.196286449267063e-06,False
31,2,97,5,0.5,1.2338867236394435e-05,False
32,1,46,7,0.7,0.00039088603807613254,False
32,2,30,3,0.3,0.00011772379366448149,False
33,1,85,7,0.7,3.001743789354805e-05,False
33,2,96,2,0.2,2.727235550992191e-05,False
33,3,3,1,0.1,1.3483344446285628e-05,False
34,1,87,7,0.7,2.132398913090583e-05,False
34,2,94,2,0.2,2.9492872272385284e-05,False
34,3,98,1,0.1,0.0051149302162230015,False
35,1,64,8,0.8,1.5184132280410267e-05,False
35,2,82,1,0.1,3.0209606848075055e-05,False
35,3,43,1,0.1,1.582515142217744e-05,False
36,1,66,9,0.9,3.040799310838338e-05,False
36,2,76,1,0.1,5.071111081633717e-05,False
37,1,18,9,0.9,1.4832788110652473e-05,False
37,2,98,1,0.1,5.828848770761397e-06,False
38,1,66,9,0.9,9.814351869863458e-06,False
38,2,74,1,0.1,1.3566674169851467e-05,False
39,1,1,7,0.7,9.666388905316126e-06,False
39,2,75,3,0.3,9.531754585623275e-06,False
40,1,18,9,0.9,6.950731767574325e-05,False
40,2,36,1,0.1,0.0001277249975828454,False
41,1,28,5,0.5,3.7457706639543176e-05,False
41,2,27,3,0.3,0.029199786484241486,False
41,3,18,2,0.2,0.045046329498291016,False
42,1,65,10,1.0,1.0062534784083255e-05,False
43,1,79,7,0.7,1.4769150766369421e-05,False
43,2,17,1,0.1,1.6878033420653082e-05,False
43,3,65,1,0.1,6.613726145587862e-05,False
43,4,35,1,0.1,2.729093648667913e-05,False
44,1,77,7,0.7,2.428710286039859e-05,False
44,2,9,3,0.3,2.595042133179959e-05,False
45,1,12,10,1.0,0.0009833319345489144,False
46,1,12,10,1.0,0.00010115563782164827,False
47,1,21,6,0.6,7.906542123237159e-06,False
47,2,23,3,0.3,1.5308791262214072e-05,False
47,3,91,1,0.1,2.163017234124709e-05,False
48,1,50,5,0.5,2.0870433218078688e-05,False
48,2,55,4,0.4,0.00011669695959426463,False
48,3,68,1,0.1,8.392091694986448e-05,False
49,1,9,10,1.0,0.0001257228577742353,False
50,1,48,9,0.9,2.4744267648202367e-05,False
50,2,17,1,0.1,1.6619569578324445e-05,False
51,1,10,6,0.6,3.0112714739516377e-05,False
51,2,59,3,0.3,3.298491719760932e-05,False
51,3,80,1,0.1,5.962773138890043e-05,False
52,1,9,10,1.0,1.43438201121171e-05,False
53,1,15,9,0.9,1.5274699762812816e-05,False
53,2,66,1,0.1,2.6450608856976032e-05,False
54,1,16,6,0.6,1.5296513083740138e-05,False
54,2,2,3,0.3,1.629433609195985e-05,False
54,3,58,1,0.1,0.00011892092152265832,False
55,1,48,9,0.9,1.932320446940139e-05,False
55,2,72,1,0.1,1.4128369912214112e-05,False
56,1,98,9,0.9,0.0022039739415049553,False
56,2,18,1,0.1,5.9949907154077664e-05,False
57,1,64,5,0.5,4.7336470743175596e-05,False
57,2,85,4,0.4,4.2913274228340015e-05,False
57,3,48,1,0.1,4.682597136707045e-05,False
58,1,54,10,1.0,1.5881265426287428e-05,False
59,1,61,9,0.9,8.23771915747784e-06,False
59,2,51,1,0.1,3.845692481263541e-05,False
60,1,12,9,0.9,0.011707699857652187,False
60,2,29,1,0.1,9.247953130397946e-05,False
61,1,5,5,0.5,0.00010867159289773554,False
61,2,58,5,0.5,2.0672683604061604e-05,False
62,1,97,5,0.5,0.0001172367628896609,False
62,2,15,5,0.5,1.817413249227684e-05,False
63,1,64,9,0.9,2.274841972393915e-05,False
63,2,42,1,0.1,1.6156151104951277e-05,False
64,1,35,5,0.5,3.680052395793609e-05,False
64,2,57,3,0.3,1.5198311302810907e-05,False
64,3,48,2,0.2,3.8377613236662e-05,False
65,1,34,6,0.6,3.294596172054298e-05,False
65,2,42,3,0.3,0.0001438726030755788,False
65,3,73,1,0.1,3.7740683183074e-05,False
66,1,36,9,0.9,8.136973519867752e-06,False
66,2,86,1,0.1,8.93611922947457e-06,False
67,1,62,10,1.0,1.4439603546634316e-05,False
68,1,48,9,0.9,9.005646279547364e-05,False
68,2,58,1,0.1,7.232923235278577e-05,False
69,1,75,9,0.9,1.944882569659967e-05,False
69,2,61,1,0.1,1.8770379028865136e-05,False
70,1,93,5,0.5,2.885069443436805e-05,False
70,2,74,3,0.3,1.1052303307224065e-05,False
70,3,72,2,0.2,2.5223809643648565e-05,False
71,1,13,6,0.6,1.7569569536135532e-05,False
71,2,31,3,0.3,1.820156285248231e-05,False
71,3,83,1,0.1,1.6315345419570804e-05,False
72,1,32,9,0.9,1.5079341210366692e-05,False
72,2,67,1,0.1,9.036804112838581e-05,False
73,1,14,6,0.6,1.1481440196803305e-05,False
73,2,62,3,0.3,1.6153686374309473e-05,False
73,3,11,1,0.1,1.3474344996211585e-05,False
74,1,1,2,0.2,8.048781455727294e-05,False
74,2,24,2,0.2,8.820775838103145e-05,False
74,3,82,2,0.2,1.2510601663962007e-05,False
74,4,32,2,0.2,4.827999873668887e-05,False
74,5,8,2,0.2,2.876040161936544e-05,False
75,1,7,3,0.3,4.073132458870532e-06,False
75,2,36,2,0.2,7.102816016413271e-05,False
75,3,76,2,0.2,8.57926261232933e-06,False
75,4,34,1,0.1,5.525965207198169e-06,False
75,5,28,1,0.1,7.390386599581689e-06,False
75,6,66,1,0.1,0.00010253193613607436,False
76,1,84,10,1.0,1.1079730938945431e-05,False
77,1,24,5,0.5,7.955459295772016e-06,False
77,2,44,3,0.3,6.334119007078698e-06,False
77,3,68,2,0.2,6.6018601501127705e-06,False
78,1,80,5,0.5,2.931590461230371e-05,False
78,2,25,3,0.3,1.7491112885181792e-05,False
78,3,9,2,0.2,1.5573135897284374e-05,False
79,1,43,10,1.0,3.394336818018928e-05,False
80,1,14,8,0.8,0.0001425031659891829,False
80,2,60,2,0.2,0.22491168975830078,False
81,1,82,10,1.0,0.0006394665688276291,False
82,1,46,9,0.9,0.00016822358884382993,False
82,2,81,1,0.1,0.0003939780581276864,False
83,1,10,4,0.4,7.877020834712312e-06,False
83,2,72,2,0.2,3.983001079177484e-05,False
83,3,81,2,0.2,1.6122779925353825e-05,False
83,4,88,1,0.1,6.633881639572792e-06,False
83,5,13,1,0.1,1.481248273194069e-05,False
84,1,94,7,0.7,0.4451666474342346,False
84,2,84,3,0.3,0.44133996963500977,False
85,1,6,9,0.9,1.2679675819526892e-05,False
85,2,79,1,0.1,8.232185064116493e-05,False
86,1,66,10,1.0,8.010603778529912e-05,False
87,1,99,10,1.0,2.097726974170655e-05,False
88,1,6,7,0.7,1.2085615708201658e-05,False
88,2,17,3,0.3,1.1337843716319185e-05,False
89,1,46,8,0.8,1.5664289094274864e-05,False
89,2,0,2,0.2,0.00022399572480935603,False
90,1,1,10,1.0,7.135271152947098e-05,False
91,1,36,10,1.0,1.2233928828209173e-05,False
92,1,90,10,1.0,7.484556408599019e-05,False
93,1,92,5,0.5,2.888687959057279e-05,False
93,2,70,4,0.4,2.479530667187646e-05,False
93,3,64,1,0.1,1.18871103040874e-05,False
94,1,94,7,0.7,0.4670904576778412,False
94,2,84,3,0.3,0.47975078225135803,False
95,1,19,7,0.7,3.0130442610243335e-05,False
95,2,15,2,0.2,1.199027792608831e-05,False
95,3,82,1,0.1,0.00047864572843536735,False
96,1,85,3,0.3,3.6359655496198684e-05,False
96,2,78,3,0.3,1.9697794414241798e-05,False
96,3,33,2,0.2,2.6098941816599108e-05,False
96,4,34,1,0.1,0.008163063786923885,False
96,5,11,1,0.1,2.7103091269964352e-05,False
97,1,8,4,0.4,4.065267603436951e-06,False
97,2,89,3,0.3,9.111816325457767e-06,False
97,3,52,2,0.2,1.938559944392182e-05,False
97,4,30,1,0.1,3.64548250217922e-05,False
98,1,56,6,0.6,0.0001858962932601571,False
98,2,15,4,0.4,0.005261953454464674,False
99,1,28,5,0.5,3.558411117410287e-05,False
99,2,91,3,0.3,2.1985046259942465e-05,False
99,3,87,2,0.2,1.2404967492329888e-05,False
