true_class,rank,soft_neighbor_class,mean_probability
0,1,46,0.004577709827572107
0,2,89,0.00011494497448438779
0,3,3,3.1736963137518615e-05
0,4,30,1.0484474842087366e-05
0,5,45,1.0432873750687577e-05
1,1,12,4.006213930551894e-05
1,2,28,2.9651089789695106e-05
1,3,32,1.8617867681314237e-05
1,4,90,1.1260123756073881e-05
1,5,74,8.149388122546952e-06
2,1,54,3.991837002104148e-05
2,2,40,1.6777277778601274e-05
2,3,10,1.0674983059288934e-05
2,4,11,9.924789992510341e-06
2,5,59,8.283622264571022e-06
3,1,0,2.2428535885410383e-05
3,2,45,1.2993992640986107e-05
3,3,33,1.2382917702780105e-05
3,4,96,9.59988210524898e-06
3,5,85,8.454886483377777e-06
4,1,68,1.2717331628664397e-05
4,2,86,7.176416147558484e-06
4,3,50,6.338882485579234e-06
4,4,22,5.780131232313579e-06
4,5,7,5.0926078074553516e-06
5,1,26,3.1358413252746686e-05
5,2,61,1.5642137441318482e-05
5,3,20,1.3123423741490114e-05
5,4,14,9.434618732484523e-06
5,5,58,5.633331056742463e-06
6,1,14,1.772100404195953e-05
6,2,85,1.720166255836375e-05
6,3,88,1.583864832355175e-05
6,4,17,1.3352424502954818e-05
6,5,51,1.3285632121551316e-05
7,1,95,2.2049995095585473e-05
7,2,75,1.5184557014435995e-05
7,3,4,1.2056199011567514e-05
7,4,34,7.4608046816138085e-06
7,5,65,3.842776095552836e-06
8,1,97,3.373083018232137e-05
8,2,24,2.437301736790687e-05
8,3,74,1.651327511353884e-05
8,4,44,9.142675480688922e-06
8,5,60,7.514165190514177e-06
9,1,80,8.15085440990515e-05
9,2,44,4.7618501412216574e-05
9,3,49,3.706041752593592e-05
9,4,52,2.3365029846900143e-05
9,5,78,1.6274860172416084e-05
10,1,2,2.76960290648276e-05
10,2,83,1.00504512374755e-05
10,3,64,8.702972991159186e-06
10,4,21,8.591779987909831e-06
10,5,51,7.788168659317307e-06
11,1,2,1.3458108696795534e-05
11,2,80,1.2030991456413176e-05
11,3,3,1.0289451893186197e-05
11,4,44,7.2978846219484694e-06
11,5,25,6.979887075431179e-06
12,1,46,5.615738336928189e-05
12,2,60,1.2190827874292154e-05
12,3,1,6.284921255428344e-06
12,4,45,4.595585778588429e-06
12,5,28,4.340029590821359e-06
13,1,50,1.5918005374260247e-05
13,2,88,1.277912815567106e-05
13,3,25,1.081583832274191e-05
13,4,54,1.0038916116172913e-05
